ticker,open,close,high,low,volume,time,time_milliseconds
AAPL,205.63,213.25,215.38,205.59,108483103,2025-08-06T04:00:00Z,1754452800000
AAPL,218.88,220.03,220.85,216.58,90224834,2025-08-07T04:00:00Z,1754539200000
AAPL,220.83,229.35,231.0,219.25,113853967,2025-08-08T04:00:00Z,1754625600000
AAPL,227.92,227.18,229.56,224.76,61806132,2025-08-11T04:00:00Z,1754884800000
AAPL,228.0,229.65,230.8,227.07,55672301,2025-08-12T04:00:00Z,1754971200000
AAPL,231.07,233.33,235.0,230.43,69878546,2025-08-13T04:00:00Z,1755057600000
AAPL,234.06,232.78,235.12,230.85,51916275,2025-08-14T04:00:00Z,1755144000000
AAPL,234.0,231.59,234.28,229.34,56038657,2025-08-15T04:00:00Z,1755230400000
AAPL,231.7,230.89,233.12,230.11,37476188,2025-08-18T04:00:00Z,1755489600000
AAPL,231.28,230.56,232.87,229.35,39402564,2025-08-19T04:00:00Z,1755576000000
AAPL,229.98,226.01,230.47,225.77,42263865,2025-08-20T04:00:00Z,1755662400000
AAPL,226.27,224.9,226.52,223.78,30621249,2025-08-21T04:00:00Z,1755748800000
AAPL,226.17,227.76,229.09,225.41,42477811,2025-08-22T04:00:00Z,1755835200000
AAPL,226.48,227.16,229.3,226.23,30983133,2025-08-25T04:00:00Z,1756094400000
AAPL,226.87,229.31,229.49,224.69,54575107,2025-08-26T04:00:00Z,1756180800000
AAPL,228.61,230.49,230.9,228.26,31259513,2025-08-27T04:00:00Z,1756267200000
AAPL,230.82,232.56,233.41,229.34,38074700,2025-08-28T04:00:00Z,1756353600000
AAPL,232.51,232.14,233.38,231.37,39418437,2025-08-29T04:00:00Z,1756440000000
AAPL,229.25,229.72,230.85,226.97,44075638,2025-09-02T04:00:00Z,1756785600000
AAPL,237.21,238.47,238.85,234.36,66427835,2025-09-03T04:00:00Z,1756872000000
AAPL,238.45,239.78,239.9,236.74,47549429,2025-09-04T04:00:00Z,1756958400000
AAPL,240.0,239.69,241.32,238.49,54870397,2025-09-05T04:00:00Z,1757044800000
AAPL,239.3,237.88,240.15,236.34,48999495,2025-09-08T04:00:00Z,1757304000000
AAPL,237.0,234.35,238.78,233.36,66313918,2025-09-09T04:00:00Z,1757390400000
AAPL,232.19,226.79,232.42,225.95,83440810,2025-09-10T04:00:00Z,1757476800000
AAPL,226.88,230.03,230.45,226.65,50208578,2025-09-11T04:00:00Z,1757563200000
AAPL,229.22,234.07,234.51,229.02,55824216,2025-09-12T04:00:00Z,1757649600000
MSFT,457.14,461.97,462.11,456.89,16626495,2025-06-02T04:00:00Z,1748836800000
MSFT,461.47,462.97,464.14,460.86,15743760,2025-06-03T04:00:00Z,1748923200000
MSFT,464.0,463.87,465.69,463.02,14162688,2025-06-04T04:00:00Z,1749009600000
MSFT,464.95,467.68,469.65,464.03,20154460,2025-06-05T04:00:00Z,1749096000000
MSFT,470.08,470.38,473.33,468.78,15285624,2025-06-06T04:00:00Z,1749182400000
MSFT,469.7,472.75,473.43,468.62,16469932,2025-06-09T04:00:00Z,1749441600000
MSFT,471.19,470.92,472.8,466.96,15375944,2025-06-10T04:00:00Z,1749528000000
MSFT,470.02,472.62,475.47,469.65,16399176,2025-06-11T04:00:00Z,1749614400000
MSFT,475.02,478.87,480.42,473.52,18950582,2025-06-12T04:00:00Z,1749700800000
MSFT,476.41,474.96,479.18,472.76,16814456,2025-06-13T04:00:00Z,1749787200000
MSFT,475.21,479.14,480.69,475.0,15626104,2025-06-16T04:00:00Z,1750046400000
MSFT,475.39,478.04,478.74,474.08,15414128,2025-06-17T04:00:00Z,1750132800000
MSFT,478.0,480.24,481.0,474.46,17526452,2025-06-18T04:00:00Z,1750219200000
MSFT,482.23,477.4,483.46,476.87,37576206,2025-06-20T04:00:00Z,1750392000000
MSFT,478.21,486.0,487.75,472.51,24863952,2025-06-23T04:00:00Z,1750651200000
MSFT,488.95,490.11,491.85,486.8,22305642,2025-06-24T04:00:00Z,1750737600000
MSFT,492.04,492.27,494.56,489.39,17495099,2025-06-25T04:00:00Z,1750824000000
MSFT,492.98,497.45,498.04,492.81,21578853,2025-06-26T04:00:00Z,1750910400000
MSFT,497.55,495.94,499.3,493.03,34539236,2025-06-27T04:00:00Z,1750996800000
MSFT,497.04,497.41,500.76,495.33,28368991,2025-06-30T04:00:00Z,1751256000000
MSFT,496.47,492.05,498.05,490.98,19945375,2025-07-01T04:00:00Z,1751342400000
MSFT,489.99,491.09,493.5,488.7,16319641,2025-07-02T04:00:00Z,1751428800000
MSFT,493.81,498.84,500.13,493.44,13983866,2025-07-03T04:00:00Z,1751515200000
MSFT,497.38,497.72,498.75,495.23,13981605,2025-07-07T04:00:00Z,1751860800000
MSFT,497.24,496.62,498.2,494.11,11846586,2025-07-08T04:00:00Z,1751947200000
MSFT,500.3,503.51,506.78,499.74,18659538,2025-07-09T04:00:00Z,1752033600000
MSFT,503.05,501.48,504.44,497.75,16498740,2025-07-10T04:00:00Z,1752120000000
MSFT,498.47,503.32,505.03,497.8,16459512,2025-07-11T04:00:00Z,1752206400000
MSFT,501.51,503.02,503.97,501.03,12058848,2025-07-14T04:00:00Z,1752465600000
MSFT,503.02,505.82,508.3,502.79,14927202,2025-07-15T04:00:00Z,1752552000000
MSFT,505.18,505.62,506.72,501.89,15154374,2025-07-16T04:00:00Z,1752638400000
MSFT,505.68,511.7,513.37,505.62,17503129,2025-07-17T04:00:00Z,1752724800000
MSFT,514.48,510.05,514.64,507.43,21209666,2025-07-18T04:00:00Z,1752811200000
MSFT,506.7,510.06,512.09,505.55,14066805,2025-07-21T04:00:00Z,1753070400000
MSFT,510.97,505.27,511.2,505.27,13868644,2025-07-22T04:00:00Z,1753156800000
MSFT,506.75,505.87,506.79,500.7,16396585,2025-07-23T04:00:00Z,1753243200000
MSFT,508.77,510.88,513.67,507.3,16107000,2025-07-24T04:00:00Z,1753329600000
MSFT,512.47,513.71,518.29,510.36,19125699,2025-07-25T04:00:00Z,1753416000000
MSFT,514.08,512.5,515.0,510.12,14308027,2025-07-28T04:00:00Z,1753675200000
MSFT,515.53,512.57,517.62,511.56,16469235,2025-07-29T04:00:00Z,1753761600000
MSFT,515.17,513.24,515.95,509.44,26380434,2025-07-30T04:00:00Z,1753848000000
MSFT,555.23,533.5,555.45,531.9,51617326,2025-07-31T04:00:00Z,1753934400000
MSFT,535.0,524.11,535.8,520.86,28977628,2025-08-01T04:00:00Z,1754020800000
MSFT,528.27,535.64,538.25,528.13,25349004,2025-08-04T04:00:00Z,1754280000000
MSFT,537.18,527.75,537.3,527.24,19171569,2025-08-05T04:00:00Z,1754366400000
MSFT,530.9,524.94,531.7,524.03,21355702,2025-08-06T04:00:00Z,1754452800000
MSFT,526.8,520.84,528.09,517.55,16079144,2025-08-07T04:00:00Z,1754539200000
MSFT,522.6,522.04,524.66,519.41,15531009,2025-08-08T04:00:00Z,1754625600000
MSFT,522.3,521.77,527.59,519.72,20194372,2025-08-11T04:00:00Z,1754884800000
MSFT,523.75,529.24,530.98,522.7,18688921,2025-08-12T04:00:00Z,1754971200000
MSFT,532.11,520.58,532.7,519.37,19619160,2025-08-13T04:00:00Z,1755057600000
MSFT,522.56,522.48,525.95,520.14,20269074,2025-08-14T04:00:00Z,1755144000000
MSFT,522.77,520.17,526.1,519.08,25213272,2025-08-15T04:00:00Z,1755230400000
MSFT,521.59,517.1,522.82,514.02,23760583,2025-08-18T04:00:00Z,1755489600000
MSFT,515.0,509.77,515.16,508.55,21481016,2025-08-19T04:00:00Z,1755576000000
MSFT,509.87,505.72,511.0,504.44,27723025,2025-08-20T04:00:00Z,1755662400000
MSFT,503.69,504.24,507.63,502.72,18443254,2025-08-21T04:00:00Z,1755748800000
MSFT,504.25,507.23,510.73,502.41,24324161,2025-08-22T04:00:00Z,1755835200000
MSFT,506.63,504.26,508.19,504.12,21638579,2025-08-25T04:00:00Z,1756094400000
MSFT,504.36,502.04,504.98,498.51,30835709,2025-08-26T04:00:00Z,1756180800000
MSFT,502.0,506.74,507.29,499.9,17277893,2025-08-27T04:00:00Z,1756267200000
MSFT,507.09,509.64,511.09,505.5,18015593,2025-08-28T04:00:00Z,1756353600000
MSFT,508.66,506.69,509.6,504.49,20961569,2025-08-29T04:00:00Z,1756440000000
MSFT,500.46,505.12,506.0,496.81,18127995,2025-09-02T04:00:00Z,1756785600000
MSFT,503.79,505.35,507.79,502.32,16345078,2025-09-03T04:00:00Z,1756872000000
MSFT,504.3,507.97,508.15,503.15,15509486,2025-09-04T04:00:00Z,1756958400000
MSFT,509.07,495.0,511.97,492.37,31994846,2025-09-05T04:00:00Z,1757044800000
MSFT,498.11,498.2,501.19,495.03,16771015,2025-09-08T04:00:00Z,1757304000000
MSFT,501.43,498.41,502.25,497.7,14410542,2025-09-09T04:00:00Z,1757390400000
MSFT,502.98,500.37,503.23,496.72,21611816,2025-09-10T04:00:00Z,1757476800000
MSFT,502.25,501.01,503.17,497.88,18881608,2025-09-11T04:00:00Z,1757563200000
MSFT,506.65,509.9,512.55,503.85,23624884,2025-09-12T04:00:00Z,1757649600000
NVDA,135.49,137.38,138.12,135.4,197663116,2025-06-02T04:00:00Z,1748836800000
NVDA,138.78,141.22,142.0,137.95,225578783,2025-06-03T04:00:00Z,1748923200000
NVDA,142.19,141.92,142.39,139.54,167120819,2025-06-04T04:00:00Z,1749009600000
NVDA,142.17,139.99,144.0,138.83,232410759,2025-06-05T04:00:00Z,1749096000000
NVDA,142.51,141.72,143.27,141.51,153986153,2025-06-06T04:00:00Z,1749182400000
NVDA,143.19,142.63,145.0,141.94,185114494,2025-06-09T04:00:00Z,1749441600000
NVDA,142.69,143.96,144.29,141.53,155881897,2025-06-10T04:00:00Z,1749528000000
NVDA,144.61,142.83,144.99,141.87,167694044,2025-06-11T04:00:00Z,1749614400000
NVDA,141.97,145.0,145.0,141.85,162364991,2025-06-12T04:00:00Z,1749700800000
NVDA,142.48,141.97,143.58,140.85,180820565,2025-06-13T04:00:00Z,1749787200000
NVDA,143.34,144.69,146.18,143.2,183133666,2025-06-16T04:00:00Z,1750046400000
NVDA,144.49,144.12,145.22,143.78,139108000,2025-06-17T04:00:00Z,1750132800000
NVDA,144.0,145.48,145.65,143.12,161494121,2025-06-18T04:00:00Z,1750219200000
NVDA,145.45,143.85,146.2,142.65,242956157,2025-06-20T04:00:00Z,1750392000000
NVDA,142.5,144.17,144.78,142.03,154308941,2025-06-23T04:00:00Z,1750651200000
NVDA,145.56,147.9,147.96,145.5,187566121,2025-06-24T04:00:00Z,1750737600000
NVDA,149.27,154.31,154.45,149.26,269146471,2025-06-25T04:00:00Z,1750824000000
NVDA,155.97,155.02,156.72,154.0,198145746,2025-06-26T04:00:00Z,1750910400000
NVDA,156.04,157.75,158.71,155.25,263234539,2025-06-27T04:00:00Z,1750996800000
NVDA,158.4,157.99,158.66,155.96,194580316,2025-06-30T04:00:00Z,1751256000000
NVDA,156.29,153.3,157.2,151.49,213143621,2025-07-01T04:00:00Z,1751342400000
NVDA,152.98,157.25,157.6,152.97,171224111,2025-07-02T04:00:00Z,1751428800000
NVDA,158.37,159.34,160.98,157.77,143713402,2025-07-03T04:00:00Z,1751515200000
NVDA,158.2,158.24,159.31,157.34,140138975,2025-07-07T04:00:00Z,1751860800000
NVDA,159.33,160.0,160.22,158.39,138133025,2025-07-08T04:00:00Z,1751947200000
NVDA,161.22,162.88,164.42,161.16,183656443,2025-07-09T04:00:00Z,1752033600000
NVDA,164.32,164.1,164.5,161.61,167704075,2025-07-10T04:00:00Z,1752120000000
NVDA,163.72,164.92,167.89,163.47,193633263,2025-07-11T04:00:00Z,1752206400000
NVDA,165.37,164.07,165.49,162.02,136975754,2025-07-14T04:00:00Z,1752465600000
NVDA,171.19,170.7,172.4,169.19,230627350,2025-07-15T04:00:00Z,1752552000000
NVDA,171.06,171.37,171.75,168.9,158831509,2025-07-16T04:00:00Z,1752638400000
NVDA,172.02,173.0,174.16,170.83,160841119,2025-07-17T04:00:00Z,1752724800000
NVDA,173.64,172.41,174.25,171.26,146456416,2025-07-18T04:00:00Z,1752811200000
NVDA,172.75,171.38,173.38,171.0,123126136,2025-07-21T04:00:00Z,1753070400000
NVDA,171.34,167.03,171.39,164.58,193114327,2025-07-22T04:00:00Z,1753156800000
NVDA,169.53,170.78,171.26,167.97,154082197,2025-07-23T04:00:00Z,1753243200000
NVDA,172.44,173.74,173.83,171.3,128984628,2025-07-24T04:00:00Z,1753329600000
NVDA,173.61,173.5,174.72,172.96,122316792,2025-07-25T04:00:00Z,1753416000000
NVDA,174.02,176.75,177.0,173.97,140023521,2025-07-28T04:00:00Z,1753675200000
NVDA,177.96,175.51,179.38,175.02,154077512,2025-07-29T04:00:00Z,1753761600000
NVDA,176.51,179.27,179.89,176.04,174312208,2025-07-30T04:00:00Z,1753848000000
NVDA,182.9,177.87,183.3,175.93,221685446,2025-07-31T04:00:00Z,1753934400000
NVDA,174.09,173.72,176.54,170.89,204528985,2025-08-01T04:00:00Z,1754020800000
NVDA,175.16,180.0,180.2,174.52,148174609,2025-08-04T04:00:00Z,1754280000000
NVDA,179.62,178.26,180.26,175.9,156407621,2025-08-05T04:00:00Z,1754366400000
NVDA,176.32,179.42,179.9,176.25,137192265,2025-08-06T04:00:00Z,1754452800000
NVDA,181.57,180.77,183.88,178.79,151878365,2025-08-07T04:00:00Z,1754539200000
NVDA,181.55,182.7,183.3,180.4,123396679,2025-08-08T04:00:00Z,1754625600000
NVDA,182.05,182.06,183.84,180.25,138323191,2025-08-11T04:00:00Z,1754884800000
NVDA,182.96,183.16,184.48,179.46,145729202,2025-08-12T04:00:00Z,1754971200000
NVDA,182.62,181.59,183.97,179.35,179871724,2025-08-13T04:00:00Z,1755057600000
NVDA,179.75,182.02,183.02,179.46,129553959,2025-08-14T04:00:00Z,1755144000000
NVDA,181.88,180.45,181.9,178.04,156602161,2025-08-15T04:00:00Z,1755230400000
NVDA,180.6,182.01,182.94,180.59,132007959,2025-08-18T04:00:00Z,1755489600000
NVDA,182.43,175.64,182.5,175.49,185229219,2025-08-19T04:00:00Z,1755576000000
NVDA,175.16,175.4,176.0,168.8,215142725,2025-08-20T04:00:00Z,1755662400000
NVDA,174.85,174.98,176.9,173.81,140040850,2025-08-21T04:00:00Z,1755748800000
NVDA,172.61,177.99,178.59,171.2,172789427,2025-08-22T04:00:00Z,1755835200000
NVDA,178.35,179.81,181.91,176.57,163012789,2025-08-25T04:00:00Z,1756094400000
NVDA,180.06,181.77,182.39,178.81,168688186,2025-08-26T04:00:00Z,1756180800000
NVDA,181.98,181.6,182.49,179.1,235518949,2025-08-27T04:00:00Z,1756267200000
NVDA,180.82,180.17,184.47,176.41,281787824,2025-08-28T04:00:00Z,1756353600000
NVDA,178.11,174.18,178.15,173.15,243257873,2025-08-29T04:00:00Z,1756440000000
NVDA,170.0,170.78,172.38,167.22,231164853,2025-09-02T04:00:00Z,1756785600000
NVDA,171.06,170.62,172.41,168.88,164424873,2025-09-03T04:00:00Z,1756872000000
NVDA,170.57,171.66,171.86,169.41,141670144,2025-09-04T04:00:00Z,1756958400000
NVDA,168.03,167.02,169.03,164.07,224441435,2025-09-05T04:00:00Z,1757044800000
NVDA,167.55,168.31,170.96,167.35,163769133,2025-09-08T04:00:00Z,1757304000000
NVDA,169.09,170.76,170.98,166.74,157548392,2025-09-09T04:00:00Z,1757390400000
NVDA,176.64,177.33,179.29,175.47,226852020,2025-09-10T04:00:00Z,1757476800000
NVDA,179.68,177.17,180.28,176.48,151159274,2025-09-11T04:00:00Z,1757563200000
NVDA,177.77,177.82,178.59,176.45,124911026,2025-09-12T04:00:00Z,1757649600000
TSLA,343.5,342.69,348.02,333.33,81873829,2025-06-02T04:00:00Z,1748836800000
TSLA,346.6,344.27,355.4,343.04,99324544,2025-06-03T04:00:00Z,1748923200000
TSLA,345.1,332.05,345.6,327.33,98912075,2025-06-04T04:00:00Z,1749009600000
TSLA,322.49,284.7,324.55,273.21,292818655,2025-06-05T04:00:00Z,1749096000000
TSLA,298.83,295.14,305.5,291.14,164747685,2025-06-06T04:00:00Z,1749182400000
TSLA,285.95,308.58,309.83,281.85,140908876,2025-06-09T04:00:00Z,1749441600000
TSLA,314.94,326.09,327.83,310.67,151256520,2025-06-10T04:00:00Z,1749528000000
TSLA,334.39,326.43,335.5,322.5,122611360,2025-06-11T04:00:00Z,1749614400000
TSLA,323.07,319.11,332.56,316.86,105127536,2025-06-12T04:00:00Z,1749700800000
TSLA,313.97,325.31,332.99,313.3,128964279,2025-06-13T04:00:00Z,1749787200000
TSLA,331.29,329.13,332.05,326.41,83925858,2025-06-16T04:00:00Z,1750046400000
TSLA,326.09,316.35,327.26,314.74,88282669,2025-06-17T04:00:00Z,1750132800000
TSLA,317.31,322.05,329.32,315.45,95137686,2025-06-18T04:00:00Z,1750219200000
TSLA,327.95,322.16,332.36,317.78,108688008,2025-06-20T04:00:00Z,1750392000000
TSLA,327.54,348.68,357.54,327.48,190716815,2025-06-23T04:00:00Z,1750651200000
TSLA,356.17,340.47,356.26,340.44,114736245,2025-06-24T04:00:00Z,1750737600000
TSLA,342.7,327.55,343.0,320.4,119845050,2025-06-25T04:00:00Z,1750824000000
TSLA,324.61,325.78,331.05,323.61,80440907,2025-06-26T04:00:00Z,1750910400000
TSLA,324.51,323.63,329.34,317.5,89067049,2025-06-27T04:00:00Z,1750996800000
TSLA,319.9,317.66,325.58,316.6,76695081,2025-06-30T04:00:00Z,1751256000000
TSLA,298.46,300.71,305.89,293.21,145085665,2025-07-01T04:00:00Z,1751342400000
TSLA,312.63,315.65,316.83,303.82,119483730,2025-07-02T04:00:00Z,1751428800000
TSLA,317.99,315.35,318.45,312.76,58041519,2025-07-03T04:00:00Z,1751515200000
TSLA,291.37,293.94,296.15,288.77,131177949,2025-07-07T04:00:00Z,1751860800000
TSLA,297.0,297.81,304.05,294.35,103246742,2025-07-08T04:00:00Z,1751947200000
TSLA,297.55,295.88,300.15,293.55,75586771,2025-07-09T04:00:00Z,1752033600000
TSLA,300.05,309.87,310.48,300.0,104365271,2025-07-10T04:00:00Z,1752120000000
TSLA,307.89,313.51,314.09,305.65,79236442,2025-07-11T04:00:00Z,1752206400000
TSLA,317.73,316.9,322.6,312.67,78043430,2025-07-14T04:00:00Z,1752465600000
TSLA,319.68,310.78,321.2,310.5,77556346,2025-07-15T04:00:00Z,1752552000000
TSLA,312.8,321.67,323.5,312.62,97284786,2025-07-16T04:00:00Z,1752638400000
TSLA,323.15,319.41,324.34,317.06,73922870,2025-07-17T04:00:00Z,1752724800000
TSLA,321.66,329.65,330.9,321.42,94254993,2025-07-18T04:00:00Z,1752811200000
TSLA,334.4,328.49,338.0,326.88,75768797,2025-07-21T04:00:00Z,1753070400000
TSLA,329.74,332.11,335.41,321.55,77370371,2025-07-22T04:00:00Z,1753156800000
TSLA,330.9,332.56,336.2,328.67,92553756,2025-07-23T04:00:00Z,1753243200000
TSLA,310.0,305.3,310.15,300.41,156966023,2025-07-24T04:00:00Z,1753329600000
TSLA,308.74,316.06,323.63,308.01,148227027,2025-07-25T04:00:00Z,1753416000000
TSLA,318.45,325.59,330.49,315.69,112673755,2025-07-28T04:00:00Z,1753675200000
TSLA,325.55,321.2,326.25,318.25,87358861,2025-07-29T04:00:00Z,1753761600000
TSLA,322.18,319.04,324.45,311.62,83931942,2025-07-30T04:00:00Z,1753848000000
TSLA,319.61,308.27,321.37,306.1,85270919,2025-07-31T04:00:00Z,1753934400000
TSLA,306.2,302.63,309.31,297.82,89121446,2025-08-01T04:00:00Z,1754020800000
TSLA,309.08,309.26,312.12,303.0,78683905,2025-08-04T04:00:00Z,1754280000000
TSLA,308.95,308.72,312.45,305.5,57961278,2025-08-05T04:00:00Z,1754366400000
TSLA,307.89,319.91,320.47,306.93,78523579,2025-08-06T04:00:00Z,1754452800000
TSLA,319.79,322.27,322.4,316.16,66658672,2025-08-07T04:00:00Z,1754539200000
TSLA,321.43,329.65,335.15,320.98,91200319,2025-08-08T04:00:00Z,1754625600000
TSLA,335.0,339.03,346.64,334.15,105320174,2025-08-11T04:00:00Z,1754884800000
TSLA,345.0,340.84,345.26,332.94,80690111,2025-08-12T04:00:00Z,1754971200000
TSLA,341.5,339.38,348.98,338.2,67838892,2025-08-13T04:00:00Z,1755057600000
TSLA,335.76,335.58,340.47,330.4,75000662,2025-08-14T04:00:00Z,1755144000000
TSLA,337.65,330.56,339.3,327.02,74319792,2025-08-15T04:00:00Z,1755230400000
